,time (hours),Agg GPU alloc(%)
4841,403.4166666666667,86.71875
4842,403.5,86.71875
4843,403.5833333333333,85.9375
4844,403.6666666666667,85.9375
4845,403.75,86.71875
4846,403.8333333333333,87.5
4847,403.9166666666667,87.5
4848,404.0,87.5
4849,404.0833333333333,87.5
4850,404.1666666666667,86.71875
4851,404.25,87.5
4852,404.3333333333333,87.5
4853,404.4166666666667,87.5
4854,404.5,87.5
4855,404.5833333333333,87.5
4856,404.6666666666667,87.5
4857,404.75,89.0625
4858,404.8333333333333,89.0625
4859,404.9166666666667,87.5
4860,405.0,87.5
4861,405.0833333333333,89.0625
4862,405.1666666666667,89.0625
4863,405.25,89.0625
4864,405.3333333333333,89.0625
4865,405.4166666666667,89.0625
4866,405.5,89.0625
4867,405.5833333333333,88.28125
4868,405.6666666666667,89.0625
4869,405.75,89.0625
4870,405.8333333333333,89.84375
4871,405.9166666666667,89.84375
4872,406.0,89.84375
4873,406.0833333333333,89.84375
4874,406.1666666666667,89.84375
4875,406.25,89.84375
4876,406.3333333333333,88.28125
4877,406.4166666666667,89.84375
4878,406.5,89.84375
4879,406.5833333333333,89.84375
4880,406.6666666666667,89.0625
4881,406.75,89.0625
4882,406.8333333333333,89.84375
4883,406.9166666666667,89.84375
4884,407.0,90.625
4885,407.0833333333333,90.625
4886,407.1666666666667,89.84375
4887,407.25,91.40625
4888,407.3333333333333,90.625
4889,407.4166666666667,89.84375
4890,407.5,88.28125
4891,407.5833333333333,88.28125
4892,407.6666666666667,88.28125
4893,407.75,88.28125
4894,407.8333333333333,88.28125
4895,407.9166666666667,89.0625
4896,408.0,87.5
4897,408.0833333333333,86.71875
4898,408.1666666666667,86.71875
4899,408.25,86.71875
4900,408.3333333333333,87.5
4901,408.4166666666667,88.28125
4902,408.5,89.0625
4903,408.5833333333333,89.0625
4904,408.6666666666667,89.84375
4905,408.75,89.84375
4906,408.8333333333333,90.625
4907,408.9166666666667,90.625
4908,409.0,90.625
4909,409.0833333333333,91.40625
4910,409.1666666666667,90.625
4911,409.25,90.625
4912,409.3333333333333,89.84375
4913,409.4166666666667,90.625
4914,409.5,89.84375
4915,409.5833333333333,89.0625
4916,409.6666666666667,89.84375
4917,409.75,89.84375
4918,409.8333333333333,89.84375
4919,409.9166666666667,89.0625
4920,410.0,89.0625
4921,410.0833333333333,89.0625
4922,410.1666666666667,88.28125
4923,410.25,89.0625
4924,410.3333333333333,89.0625
4925,410.4166666666667,89.0625
4926,410.5,88.28125
4927,410.5833333333333,88.28125
4928,410.6666666666667,87.5
4929,410.75,87.5
4930,410.8333333333333,88.28125
4931,410.9166666666667,88.28125
4932,411.0,89.0625
4933,411.0833333333333,89.0625
4934,411.1666666666667,89.84375
4935,411.25,89.0625
4936,411.3333333333333,89.84375
4937,411.4166666666667,89.84375
4938,411.5,89.0625
4939,411.5833333333333,89.84375
4940,411.6666666666667,89.0625
4941,411.75,88.28125
4942,411.8333333333333,88.28125
4943,411.9166666666667,89.0625
4944,412.0,89.0625
4945,412.0833333333333,89.0625
4946,412.1666666666667,89.84375
4947,412.25,89.0625
4948,412.3333333333333,89.0625
4949,412.4166666666667,88.28125
4950,412.5,89.0625
4951,412.5833333333333,89.0625
4952,412.6666666666667,88.28125
4953,412.75,89.0625
4954,412.8333333333333,89.0625
4955,412.9166666666667,87.5
4956,413.0,87.5
4957,413.0833333333333,87.5
4958,413.1666666666667,86.71875
4959,413.25,86.71875
4960,413.3333333333333,86.71875
4961,413.4166666666667,86.71875
4962,413.5,86.71875
4963,413.5833333333333,87.5
4964,413.6666666666667,87.5
4965,413.75,87.5
4966,413.8333333333333,87.5
4967,413.9166666666667,87.5
4968,414.0,86.71875
4969,414.0833333333333,86.71875
4970,414.1666666666667,86.71875
4971,414.25,86.71875
4972,414.3333333333333,87.5
4973,414.4166666666667,88.28125
4974,414.5,88.28125
4975,414.5833333333333,88.28125
4976,414.6666666666667,88.28125
4977,414.75,87.5
4978,414.8333333333333,88.28125
4979,414.9166666666667,88.28125
4980,415.0,89.0625
4981,415.0833333333333,89.0625
4982,415.1666666666667,89.0625
4983,415.25,89.0625
4984,415.3333333333333,89.84375
4985,415.4166666666667,89.84375
4986,415.5,89.84375
4987,415.5833333333333,89.84375
4988,415.6666666666667,90.625
4989,415.75,89.84375
4990,415.8333333333333,89.84375
4991,415.9166666666667,89.84375
4992,416.0,88.28125
4993,416.0833333333333,88.28125
